date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:48:35	286770/286770	---M--	200	added ('OK')	image/jpeg	date:Wed,%2021%20Jun%202017%2008:33:31%20GMT	https://www.avodaq.com/files/avodaq/content/backgrounds/2017/improved/shutterstock_73233445_web.jpg	/Users/skrug/websites/avodaq/www.avodaq.com/files/avodaq/content/backgrounds/2017/improved/shutterstock_73233445_web.jpg	(from https://www.avodaq.com/en/)
15:48:36	262357/262357	---M--	200	added ('OK')	image/jpeg	date:Tue,%2020%20Jun%202017%2016:01:04%20GMT	https://www.avodaq.com/files/avodaq/content/backgrounds/2017/verbessert/shutterstock_276350837_web.jpg	/Users/skrug/websites/avodaq/www.avodaq.com/files/avodaq/content/backgrounds/2017/verbessert/shutterstock_276350837_web.jpg	(from https://www.avodaq.com/en/)
15:48:37	337828/337828	---M--	200	added ('OK')	image/jpeg	date:Wed,%2021%20Jun%202017%2008:33:30%20GMT	https://www.avodaq.com/files/avodaq/content/backgrounds/2017/improved/pexels-photo-26165_web.jpg	/Users/skrug/websites/avodaq/www.avodaq.com/files/avodaq/content/backgrounds/2017/improved/pexels-photo-26165_web.jpg	(from https://www.avodaq.com/en/)
15:48:38	10133/10133	---M--	200	added ('OK')	image/png	date:Thu,%2019%20Jul%202018%2015:37:31%20GMT	https://www.avodaq.com/files/avodaq/content/pictures/2018/Best_Quality.png	/Users/skrug/websites/avodaq/www.avodaq.com/files/avodaq/content/pictures/2018/Best_Quality.png	(from https://www.avodaq.com/en/)
15:48:38	275451/275451	---M--	200	added ('OK')	image/jpeg	date:Tue,%2020%20Jun%202017%2016:01:04%20GMT	https://www.avodaq.com/files/avodaq/content/backgrounds/2017/verbessert/shutterstock_299770247_web.jpg	/Users/skrug/websites/avodaq/www.avodaq.com/files/avodaq/content/backgrounds/2017/verbessert/shutterstock_299770247_web.jpg	(from https://www.avodaq.com/en/)
15:48:39	354238/354238	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20May%202021%2013:48:35%20GMT	https://www.avodaq.com/de/	/Users/skrug/websites/avodaq/www.avodaq.com/de/index.html	(from https://www.avodaq.com/en/)
15:48:40	277951/277951	---M--	200	added ('OK')	image/jpeg	date:Tue,%2020%20Jun%202017%2016:01:05%20GMT	https://www.avodaq.com/files/avodaq/content/backgrounds/2017/verbessert/shutterstock_456220663_web.jpg	/Users/skrug/websites/avodaq/www.avodaq.com/files/avodaq/content/backgrounds/2017/verbessert/shutterstock_456220663_web.jpg	(from https://www.avodaq.com/en/)
15:48:42	362672/362672	---M--	200	added ('OK')	image/jpeg	date:Wed,%2021%20Jun%202017%2008:33:30%20GMT	https://www.avodaq.com/files/avodaq/content/backgrounds/2017/improved/pexels-photo-110241_web.jpg	/Users/skrug/websites/avodaq/www.avodaq.com/files/avodaq/content/backgrounds/2017/improved/pexels-photo-110241_web.jpg	(from https://www.avodaq.com/en/)
15:48:42	292531/292531	---M--	200	added ('OK')	image/jpeg	date:Tue,%2020%20Jun%202017%2016:01:06%20GMT	https://www.avodaq.com/files/avodaq/content/backgrounds/2017/verbessert/shutterstock_607107062_web.jpg	/Users/skrug/websites/avodaq/www.avodaq.com/files/avodaq/content/backgrounds/2017/verbessert/shutterstock_607107062_web.jpg	(from https://www.avodaq.com/en/)
15:48:42	36528/36528	---M--	200	added ('OK')	image/png	date:Fri,%2022%20Dec%202017%2007:30:29%20GMT	https://www.avodaq.com/files/avodaq/content/icons/Icon_SmartIT_neu.png	/Users/skrug/websites/avodaq/www.avodaq.com/files/avodaq/content/icons/Icon_SmartIT_neu.png	(from https://www.avodaq.com/en/)
15:48:44	26274/26274	---M--	200	added ('OK')	image/png	date:Fri,%2022%20Dec%202017%2007:30:28%20GMT	https://www.avodaq.com/files/avodaq/content/icons/Icon_Collaboration_neu.png	/Users/skrug/websites/avodaq/www.avodaq.com/files/avodaq/content/icons/Icon_Collaboration_neu.png	(from https://www.avodaq.com/en/)
15:48:44	230084/230084	---M--	200	added ('OK')	image/jpeg	date:Tue,%2020%20Jun%202017%2016:01:05%20GMT	https://www.avodaq.com/files/avodaq/content/backgrounds/2017/verbessert/shutterstock_487313515_web.jpg	/Users/skrug/websites/avodaq/www.avodaq.com/files/avodaq/content/backgrounds/2017/verbessert/shutterstock_487313515_web.jpg	(from https://www.avodaq.com/en/)
15:48:46	18483/18483	---M--	200	added ('OK')	image/png	date:Fri,%2023%20Jun%202017%2014:44:12%20GMT	https://www.avodaq.com/files/avodaq/content/icons/security_icon_engl.png	/Users/skrug/websites/avodaq/www.avodaq.com/files/avodaq/content/icons/security_icon_engl.png	(from https://www.avodaq.com/en/)
15:48:46	255827/255827	---M--	200	added ('OK')	image/jpeg	date:Tue,%2020%20Jun%202017%2016:01:06%20GMT	https://www.avodaq.com/files/avodaq/content/backgrounds/2017/verbessert/shutterstock_607269038_web.jpg	/Users/skrug/websites/avodaq/www.avodaq.com/files/avodaq/content/backgrounds/2017/verbessert/shutterstock_607269038_web.jpg	(from https://www.avodaq.com/en/)
15:48:48	218200/218200	---M--	200	added ('OK')	image/jpeg	date:Tue,%2020%20Jun%202017%2016:19:18%20GMT	https://www.avodaq.com/files/avodaq/content/backgrounds/2017/verbessert/shutterstock_552207367_web.jpg	/Users/skrug/websites/avodaq/www.avodaq.com/files/avodaq/content/backgrounds/2017/verbessert/shutterstock_552207367_web.jpg	(from https://www.avodaq.com/en/)
15:48:49	231195/231195	---M--	200	added ('OK')	image/jpeg	date:Wed,%2021%20Jun%202017%2008:33:31%20GMT	https://www.avodaq.com/files/avodaq/content/backgrounds/2017/improved/shutterstock_267584456_web.jpg	/Users/skrug/websites/avodaq/www.avodaq.com/files/avodaq/content/backgrounds/2017/improved/shutterstock_267584456_web.jpg	(from https://www.avodaq.com/en/)
15:48:51	586889/586889	---M--	200	added ('OK')	image/jpeg	date:Fri,%2009%20Apr%202021%2009:06:49%20GMT	https://www.avodaq.com/files/avodaq/content/pictures/2018/Girls%27%20Day%20Bild.jpeg	/Users/skrug/websites/avodaq/www.avodaq.com/files/avodaq/content/pictures/2018/Girls'%20Day%20Bild.jpg	(from https://www.avodaq.com/en/)
15:48:52	101065/101065	---M--	200	added ('OK')	image/png	date:Tue,%2009%20Feb%202021%2008:51:16%20GMT	https://www.avodaq.com/files/avodaq/content/pictures/small/2018/Avodaq%20web%20600x300.png	/Users/skrug/websites/avodaq/www.avodaq.com/files/avodaq/content/pictures/small/2018/Avodaq%20web%20600x300.png	(from https://www.avodaq.com/en/)
15:48:52	546843/546843	---M--	200	added ('OK')	image/jpeg	date:Thu,%2001%20Apr%202021%2014:00:28%20GMT	https://www.avodaq.com/files/avodaq/content/pictures/small/2018/Bild1.jpg	/Users/skrug/websites/avodaq/www.avodaq.com/files/avodaq/content/pictures/small/2018/Bild1.jpg	(from https://www.avodaq.com/en/)
15:48:53	273583/273583	---M--	200	added ('OK')	image/jpeg	date:Wed,%2003%20Feb%202021%2011:18:41%20GMT	https://www.avodaq.com/files/avodaq/content/pictures/2018/1610626717044_jpg.jpg	/Users/skrug/websites/avodaq/www.avodaq.com/files/avodaq/content/pictures/2018/1610626717044_jpg.jpg	(from https://www.avodaq.com/en/)
15:48:54	102487/102487	---M--	200	added ('OK')	image/jpeg	date:Fri,%2030%20Apr%202021%2022:00:58%20GMT	https://www.avodaq.com/assets/images/f/Bikeleasing_Social_Media-20c51c3f.jpg	/Users/skrug/websites/avodaq/www.avodaq.com/assets/images/f/Bikeleasing_Social_Media-20c51c3f.jpg	(from https://www.avodaq.com/en/)
15:48:54	336878/336878	---M--	200	added ('OK')	image/jpeg	date:Wed,%2003%20Feb%202021%2011:56:13%20GMT	https://www.avodaq.com/files/avodaq/content/pictures/2018/Foto_FB_Katharinenhof.jpg	/Users/skrug/websites/avodaq/www.avodaq.com/files/avodaq/content/pictures/2018/Foto_FB_Katharinenhof.jpg	(from https://www.avodaq.com/en/)
15:48:55	33075/33075	---M--	200	added ('OK')	image/jpeg	date:Fri,%2030%20Apr%202021%2022:00:58%20GMT	https://www.avodaq.com/assets/images/2/LinkedIn_Award1-619d5b82.jpg	/Users/skrug/websites/avodaq/www.avodaq.com/assets/images/2/LinkedIn_Award1-619d5b82.jpg	(from https://www.avodaq.com/en/)
15:48:56	32854/32854	---M--	200	added ('OK')	image/jpeg	date:Fri,%2030%20Apr%202021%2022:00:58%20GMT	https://www.avodaq.com/assets/images/3/LinkedIn_Award2-cd3f2ce3.jpg	/Users/skrug/websites/avodaq/www.avodaq.com/assets/images/3/LinkedIn_Award2-cd3f2ce3.jpg	(from https://www.avodaq.com/en/)
15:48:58	173446/173446	---M--	200	added ('OK')	image/jpeg	date:Thu,%2001%20Oct%202020%2013:08:42%20GMT	https://www.avodaq.com/files/avodaq/content/pictures/small/2018/LinkedIn_avodaq_Trainees.jpg	/Users/skrug/websites/avodaq/www.avodaq.com/files/avodaq/content/pictures/small/2018/LinkedIn_avodaq_Trainees.jpg	(from https://www.avodaq.com/en/)
15:48:59	137753/137753	---M--	200	added ('OK')	image/jpeg	date:Tue,%2016%20Jun%202020%2007:56:43%20GMT	https://www.avodaq.com/files/avodaq/content/pictures/small/Pr%c3%a4si_Website.jpg	/Users/skrug/websites/avodaq/www.avodaq.com/files/avodaq/content/pictures/small/Pr%c3%a4si_Website.jpg	(from https://www.avodaq.com/en/)
15:48:59	59355/59355	---M--	200	added ('OK')	image/jpeg	date:Tue,%2016%20Jun%202020%2007:56:50%20GMT	https://www.avodaq.com/files/avodaq/content/pictures/small/Team_Website.jpg	/Users/skrug/websites/avodaq/www.avodaq.com/files/avodaq/content/pictures/small/Team_Website.jpg	(from https://www.avodaq.com/en/)
15:49:00	69552/69552	---M--	200	added ('OK')	image/jpeg	date:Wed,%2006%20May%202020%2008:08:32%20GMT	https://www.avodaq.com/files/avodaq/content/pictures/2020/Wishes%20for%20the%20world/Smiling_positive_website.jpg	/Users/skrug/websites/avodaq/www.avodaq.com/files/avodaq/content/pictures/2020/Wishes%20for%20the%20world/Smiling_positive_website.jpg	(from https://www.avodaq.com/en/)
15:49:01	63407/63407	---M--	200	added ('OK')	image/jpeg	date:Thu,%2016%20Apr%202020%2009:57:08%20GMT	https://www.avodaq.com/files/avodaq/content/pictures/2020/Homeoffice_Website_EN.jpg	/Users/skrug/websites/avodaq/www.avodaq.com/files/avodaq/content/pictures/2020/Homeoffice_Website_EN.jpg	(from https://www.avodaq.com/en/)
15:49:02	6524/6524	---MC-	404	error ('Not%20Found')	text/html	date:Fri,%2028%20May%202021%2013:49:02%20GMT	https://www.avodaq.com/de/avodaqMeraki_Webinar.html	/Users/skrug/websites/avodaq/www.avodaq.com/de/avodaqMeraki_Webinar.html	(from https://www.avodaq.com/en/)
15:49:03	52176/52176	---M--	200	added ('OK')	image/jpeg	date:Wed,%2015%20Apr%202020%2010:49:20%20GMT	https://www.avodaq.com/files/avodaq/content/pictures/2020/Meraki_Webinar.jpg	/Users/skrug/websites/avodaq/www.avodaq.com/files/avodaq/content/pictures/2020/Meraki_Webinar.jpg	(from https://www.avodaq.com/en/)
15:49:05	169494/169494	---M--	200	added ('OK')	image/png	date:Fri,%2030%20Apr%202021%2022:57:23%20GMT	https://www.avodaq.com/assets/images/f/Deckblatt_Userguide_engl-50fca84f.png	/Users/skrug/websites/avodaq/www.avodaq.com/assets/images/f/Deckblatt_Userguide_engl-50fca84f.png	(from https://www.avodaq.com/en/)
15:49:05	19546/19546	---M-Z	200	added ('OK')	text/html	date:Tue,%2024%20Mar%202020%2011:06:50%20GMT	https://www.avodaq.com/homeoffice2020/	/Users/skrug/websites/avodaq/www.avodaq.com/homeoffice2020/index.html	(from https://www.avodaq.com/en/)
15:49:05	105879/105879	---M--	200	added ('OK')	image/jpeg	date:Mon,%2020%20Apr%202020%2013:00:43%20GMT	https://www.avodaq.com/files/avodaq/content/pictures/2020/20200219%20-%20DFC%20Messestand_Website.jpg	/Users/skrug/websites/avodaq/www.avodaq.com/files/avodaq/content/pictures/2020/20200219%20-%20DFC%20Messestand_Website.jpg	(from https://www.avodaq.com/en/)
15:49:06	119148/119148	---M--	200	added ('OK')	image/jpeg	date:Mon,%2020%20Apr%202020%2013:00:43%20GMT	https://www.avodaq.com/files/avodaq/content/pictures/2020/20200218%20-%20Vortragsraum_Website.jpg	/Users/skrug/websites/avodaq/www.avodaq.com/files/avodaq/content/pictures/2020/20200218%20-%20Vortragsraum_Website.jpg	(from https://www.avodaq.com/en/)
15:49:08	272943/272943	---M--	200	added ('OK')	image/png	date:Fri,%2030%20Apr%202021%2022:00:58%20GMT	https://www.avodaq.com/assets/images/0/Bild_inkl_Text-a5fd3720.png	/Users/skrug/websites/avodaq/www.avodaq.com/assets/images/0/Bild_inkl_Text-a5fd3720.png	(from https://www.avodaq.com/en/)
15:49:08	73417/73417	---M--	200	added ('OK')	image/png	date:Fri,%2030%20Apr%202021%2022:00:58%20GMT	https://www.avodaq.com/assets/images/d/Bild1-a3b55edd.png	/Users/skrug/websites/avodaq/www.avodaq.com/assets/images/d/Bild1-a3b55edd.png	(from https://www.avodaq.com/en/)
15:49:09	33785/33785	---M--	200	added ('OK')	image/jpeg	date:Fri,%2030%20Apr%202021%2022:00:59%20GMT	https://www.avodaq.com/assets/images/b/PHOTO-2019-12-14-23-43-18-b545181b.jpg	/Users/skrug/websites/avodaq/www.avodaq.com/assets/images/b/PHOTO-2019-12-14-23-43-18-b545181b.jpg	(from https://www.avodaq.com/en/)
15:49:10	38379/38379	---M--	200	added ('OK')	image/jpeg	date:Fri,%2030%20Apr%202021%2022:00:59%20GMT	https://www.avodaq.com/assets/images/5/IMG_3580_komp-597e8045.jpg	/Users/skrug/websites/avodaq/www.avodaq.com/assets/images/5/IMG_3580_komp-597e8045.jpg	(from https://www.avodaq.com/en/)
15:49:11	22450/22450	---M--	200	added ('OK')	image/jpeg	date:Fri,%2030%20Apr%202021%2022:00:59%20GMT	https://www.avodaq.com/assets/images/a/20191202_105806_bearb2-cb580eba.jpg	/Users/skrug/websites/avodaq/www.avodaq.com/assets/images/a/20191202_105806_bearb2-cb580eba.jpg	(from https://www.avodaq.com/en/)
15:49:12	36865/36865	---M--	200	added ('OK')	image/jpeg	date:Fri,%2030%20Apr%202021%2022:00:59%20GMT	https://www.avodaq.com/assets/images/5/20191203_091601_bearb2-2590ebb5.jpg	/Users/skrug/websites/avodaq/www.avodaq.com/assets/images/5/20191203_091601_bearb2-2590ebb5.jpg	(from https://www.avodaq.com/en/)
15:49:13	23574/23574	---M--	200	added ('OK')	image/jpeg	date:Fri,%2030%20Apr%202021%2022:00:59%20GMT	https://www.avodaq.com/assets/images/c/EKaYyuaXUAA3Fp4-edc33f8c.jpg	/Users/skrug/websites/avodaq/www.avodaq.com/assets/images/c/EKaYyuaXUAA3Fp4-edc33f8c.jpg	(from https://www.avodaq.com/en/)
15:49:14	35460/35460	---M--	200	added ('OK')	image/jpeg	date:Fri,%2030%20Apr%202021%2022:00:59%20GMT	https://www.avodaq.com/assets/images/1/dmp2-50e6fc51.jpg	/Users/skrug/websites/avodaq/www.avodaq.com/assets/images/1/dmp2-50e6fc51.jpg	(from https://www.avodaq.com/en/)
15:49:15	27802/27802	---M--	200	added ('OK')	image/jpeg	date:Fri,%2030%20Apr%202021%2022:01:00%20GMT	https://www.avodaq.com/assets/images/1/IMG_0874_komp-ebd32601.jpg	/Users/skrug/websites/avodaq/www.avodaq.com/assets/images/1/IMG_0874_komp-ebd32601.jpg	(from https://www.avodaq.com/en/)
15:49:16	23996/23996	---M--	200	added ('OK')	image/jpeg	date:Fri,%2030%20Apr%202021%2022:01:00%20GMT	https://www.avodaq.com/assets/images/f/IMG_0860_bearb_komp-9201f6ef.jpg	/Users/skrug/websites/avodaq/www.avodaq.com/assets/images/f/IMG_0860_bearb_komp-9201f6ef.jpg	(from https://www.avodaq.com/en/)
15:49:17	23756/23756	---M--	200	added ('OK')	image/jpeg	date:Fri,%2030%20Apr%202021%2022:01:00%20GMT	https://www.avodaq.com/assets/images/e/IMG_0806-8b58c86e.jpg	/Users/skrug/websites/avodaq/www.avodaq.com/assets/images/e/IMG_0806-8b58c86e.jpg	(from https://www.avodaq.com/en/)
15:49:18	29485/29485	---M--	200	added ('OK')	image/jpeg	date:Fri,%2030%20Apr%202021%2022:01:00%20GMT	https://www.avodaq.com/assets/images/2/IMG_0816-c97598a2.jpg	/Users/skrug/websites/avodaq/www.avodaq.com/assets/images/2/IMG_0816-c97598a2.jpg	(from https://www.avodaq.com/en/)
15:49:19	35560/35560	---M--	200	added ('OK')	image/png	date:Fri,%2030%20Apr%202021%2022:01:00%20GMT	https://www.avodaq.com/assets/images/8/Gold%20Certifiedblue-ddf9cb38.png	/Users/skrug/websites/avodaq/www.avodaq.com/assets/images/8/Gold%20Certifiedblue-ddf9cb38.png	(from https://www.avodaq.com/en/)
15:49:20	30698/30698	---M--	200	added ('OK')	image/jpeg	date:Fri,%2030%20Apr%202021%2022:01:00%20GMT	https://www.avodaq.com/assets/images/8/mam_328659_550176_Fancybox-de-04730558.jpg	/Users/skrug/websites/avodaq/www.avodaq.com/assets/images/8/mam_328659_550176_Fancybox-de-04730558.jpg	(from https://www.avodaq.com/en/)
15:49:21	23158/23158	---M--	200	added ('OK')	image/jpeg	date:Fri,%2030%20Apr%202021%2022:01:00%20GMT	https://www.avodaq.com/assets/images/8/mam_328675_550193-de-6f0fd058.jpg	/Users/skrug/websites/avodaq/www.avodaq.com/assets/images/8/mam_328675_550193-de-6f0fd058.jpg	(from https://www.avodaq.com/en/)
15:49:22	46387/46387	---M--	200	added ('OK')	image/jpeg	date:Fri,%2030%20Apr%202021%2022:01:00%20GMT	https://www.avodaq.com/assets/images/2/IMG_8554_komp-4e9e3792.jpg	/Users/skrug/websites/avodaq/www.avodaq.com/assets/images/2/IMG_8554_komp-4e9e3792.jpg	(from https://www.avodaq.com/en/)
15:49:23	35462/35462	---M--	200	added ('OK')	image/jpeg	date:Fri,%2030%20Apr%202021%2022:01:01%20GMT	https://www.avodaq.com/assets/images/9/IMG_8547_komp-0fc5d459.jpg	/Users/skrug/websites/avodaq/www.avodaq.com/assets/images/9/IMG_8547_komp-0fc5d459.jpg	(from https://www.avodaq.com/en/)
15:49:24	27050/27050	---M--	200	added ('OK')	image/jpeg	date:Fri,%2030%20Apr%202021%2022:01:01%20GMT	https://www.avodaq.com/assets/images/2/IMG_0778_komp-776d7fc2.jpg	/Users/skrug/websites/avodaq/www.avodaq.com/assets/images/2/IMG_0778_komp-776d7fc2.jpg	(from https://www.avodaq.com/en/)
15:49:25	28932/28932	---M--	200	added ('OK')	image/jpeg	date:Fri,%2030%20Apr%202021%2022:01:01%20GMT	https://www.avodaq.com/assets/images/3/IMG_0747_komp_bearb-9ef3f303.jpg	/Users/skrug/websites/avodaq/www.avodaq.com/assets/images/3/IMG_0747_komp_bearb-9ef3f303.jpg	(from https://www.avodaq.com/en/)
15:49:26	17404/17404	---M--	200	added ('OK')	image/jpeg	date:Fri,%2030%20Apr%202021%2022:01:01%20GMT	https://www.avodaq.com/assets/images/5/0V5A0820-40b5cef5.jpg	/Users/skrug/websites/avodaq/www.avodaq.com/assets/images/5/0V5A0820-40b5cef5.jpg	(from https://www.avodaq.com/en/)
15:49:27	44119/44119	---M--	200	added ('OK')	image/jpeg	date:Fri,%2030%20Apr%202021%2022:01:01%20GMT	https://www.avodaq.com/assets/images/c/DJI_0120_bearb-1c75b1dc.jpg	/Users/skrug/websites/avodaq/www.avodaq.com/assets/images/c/DJI_0120_bearb-1c75b1dc.jpg	(from https://www.avodaq.com/en/)
15:49:28	28560/28560	---M--	200	added ('OK')	image/jpeg	date:Fri,%2030%20Apr%202021%2022:01:01%20GMT	https://www.avodaq.com/assets/images/2/IMG_0391_komp-0ce8f0d2.jpg	/Users/skrug/websites/avodaq/www.avodaq.com/assets/images/2/IMG_0391_komp-0ce8f0d2.jpg	(from https://www.avodaq.com/en/)
15:49:29	30318/30318	---M--	200	added ('OK')	image/jpeg	date:Fri,%2030%20Apr%202021%2022:01:01%20GMT	https://www.avodaq.com/assets/images/8/IMG_0403_komp-526e7f18.jpg	/Users/skrug/websites/avodaq/www.avodaq.com/assets/images/8/IMG_0403_komp-526e7f18.jpg	(from https://www.avodaq.com/en/)
15:49:30	31120/31120	---M--	200	added ('OK')	image/jpeg	date:Fri,%2030%20Apr%202021%2022:01:01%20GMT	https://www.avodaq.com/assets/images/7/MVIMG_20190917_180603_komp-febbfc57.jpg	/Users/skrug/websites/avodaq/www.avodaq.com/assets/images/7/MVIMG_20190917_180603_komp-febbfc57.jpg	(from https://www.avodaq.com/en/)
15:49:31	26596/26596	---M--	200	added ('OK')	image/jpeg	date:Fri,%2030%20Apr%202021%2022:01:02%20GMT	https://www.avodaq.com/assets/images/7/IMG_20190917_090204_komp-26011947.jpg	/Users/skrug/websites/avodaq/www.avodaq.com/assets/images/7/IMG_20190917_090204_komp-26011947.jpg	(from https://www.avodaq.com/en/)
15:49:32	40123/40123	---M--	200	added ('OK')	image/jpeg	date:Fri,%2030%20Apr%202021%2022:01:02%20GMT	https://www.avodaq.com/assets/images/2/Initiative%20Stadt%20in%20Bewegung%20startet-92640632.jpg	/Users/skrug/websites/avodaq/www.avodaq.com/assets/images/2/Initiative%20Stadt%20in%20Bewegung%20startet-92640632.jpg	(from https://www.avodaq.com/en/)
15:49:33	29872/29872	---M--	200	added ('OK')	image/jpeg	date:Fri,%2030%20Apr%202021%2022:01:02%20GMT	https://www.avodaq.com/assets/images/b/Dortmund%20Stadt%20in%20Bewegung%20-%20im%20Gespr%c3%a4ch%20OB%20Sierau%20Karsten%20Vierke%20Signify%202-846ad56b.jpg	/Users/skrug/websites/avodaq/www.avodaq.com/assets/images/b/Dortmund%20Stadt%20in%20Bewegung%20-%20im%20Gespr%c3%a4ch%20OB%20Sierau%20Karsten%20Vierke%20Signify%202-846ad56b.jpg	(from https://www.avodaq.com/en/)
15:49:34	30081/30081	---M--	200	added ('OK')	image/jpeg	date:Fri,%2030%20Apr%202021%2022:01:02%20GMT	https://www.avodaq.com/assets/images/d/IMG_0131-d32204dd.jpeg	/Users/skrug/websites/avodaq/www.avodaq.com/assets/images/d/IMG_0131-d32204dd.jpg	(from https://www.avodaq.com/en/)
15:49:35	30133/30133	---M--	200	added ('OK')	image/jpeg	date:Fri,%2030%20Apr%202021%2022:01:02%20GMT	https://www.avodaq.com/assets/images/a/IMG_0134-7742db5a.jpeg	/Users/skrug/websites/avodaq/www.avodaq.com/assets/images/a/IMG_0134-7742db5a.jpg	(from https://www.avodaq.com/en/)
15:49:36	39481/39481	---M--	200	added ('OK')	image/jpeg	date:Fri,%2030%20Apr%202021%2022:01:02%20GMT	https://www.avodaq.com/assets/images/c/IMG_7859-1b2ff25c.jpg	/Users/skrug/websites/avodaq/www.avodaq.com/assets/images/c/IMG_7859-1b2ff25c.jpg	(from https://www.avodaq.com/en/)
15:49:37	43850/43850	---M--	200	added ('OK')	image/jpeg	date:Fri,%2030%20Apr%202021%2022:01:03%20GMT	https://www.avodaq.com/assets/images/6/IMG_7863-18ca2226.jpg	/Users/skrug/websites/avodaq/www.avodaq.com/assets/images/6/IMG_7863-18ca2226.jpg	(from https://www.avodaq.com/en/)
